Season,Episode,Director,Writers,Viewers,Votes,IMDB_Rating,Verdict
5,15,Pamela Fryman,"Carter Bays,Craig Thomas",10,2426,8,Buono
5,16,Pamela Fryman,Kourtney Kang,10.37,2382,"7,8",Buono
5,17,Pamela Fryman,Matt Kuhn,10.06,2664,"8,3",Buono
5,18,Pamela Fryman,Robia Rashid,8.37,2444,"8,2",Buono
5,19,Pamela Fryman,Stephen Lloyd,6.88,2384,"7,6",Buono
5,20,Pamela Fryman,Chris Harris,7.71,2372,"7,9",Buono
5,21,Pamela Fryman,Theresa Mulligan Rosenthal,7.7,2316,"7,8",Buono
5,22,Rob Greenberg,Jamie Rhonheimer,8.16,2454,"8,2",Buono
5,23,Pamela Fryman,Stephen Lloyd,7.69,2590,"8,1",Buono
5,24,Pamela Fryman,"Carter Bays,Craig Thomas",8.18,2508,"8,5",Eccellente
6,1,Pamela Fryman,"Carter Bays,Craig Thomas",8.79,2620,"8,2",Buono
6,2,Pamela Fryman,Stephen Lloyd,9,2619,"8,3",Buono
6,3,Pamela Fryman,Jamie Rhonheimer,8.6,2342,"7,8",Buono
6,4,Pamela Fryman,Chris Harris,8.48,2698,"8,6",Eccellente
6,5,Pamela Fryman,"Carter Bays,Craig Thomas",8.05,2296,"7,8",Buono
6,6,Pamela Fryman,Joe Kelly,8.29,2307,"7,7",Buono
6,7,Pamela Fryman,Chuck Tatham,8.88,2272,"7,7",Buono
6,8,Pamela Fryman,"Carter Bays,Craig Thomas",8.87,2383,"8,1",Buono
6,9,Pamela Fryman,Kourtney Kang,8.87,2804,"8,6",Eccellente
6,10,Pamela Fryman,Theresa Mulligan Rosenthal,8.73,3762,"9,1",Eccellente
6,11,Pamela Fryman,Robia Rashid,9.26,2416,8,Buono
6,12,Pamela Fryman,"Craig Gerard,Matthew Zinman",9.7,2368,"8,2",Buono
6,13,Pamela Fryman,Jennifer Hendriks,10.15,3414,"8,9",Eccellente
6,14,Pamela Fryman,"Carter Bays,Craig Thomas",10.54,2830,"8,6",Eccellente
6,15,Pamela Fryman,"Carter Bays,Craig Thomas",10,3174,"8,8",Eccellente
6,16,Pamela Fryman,Tami Sagher,9.51,2327,"8,1",Buono
6,17,Michael Shea,Tom Ruprecht,9.33,2200,"7,7",Buono
6,18,Pamela Fryman,Matt Kuhn,9.24,2411,"8,3",Buono
6,19,Pamela Fryman,"Dan Gregor,Doug Mand",8.03,2543,"8,3",Buono
6,20,Pamela Fryman,Stephen Lloyd,6.87,2225,"7,7",Buono
6,21,Pamela Fryman,Chris Harris,6.49,2225,8,Buono
6,22,Pamela Fryman,Joe Kelly,6.77,2240,"7,9",Buono
6,23,Pamela Fryman,"Carter Bays,Craig Thomas",6.41,2182,"7,8",Buono
6,24,Pamela Fryman,"Carter Bays,Craig Thomas",7.15,2565,"8,5",Eccellente
7,1,Pamela Fryman,"Carter Bays,Craig Thomas",11,3262,"8,6",Eccellente
7,2,Pamela Fryman,Stephen Lloyd,12.22,2587,"8,1",Buono
7,3,Rob Greenberg,"Carter Bays,Craig Thomas",10.5,3260,"8,9",Eccellente
7,4,Pamela Fryman,Kourtney Kang,10.39,2440,"8,1",Buono
7,5,Pamela Fryman,Jamie Rhonheimer,8.89,2315,"7,5",Buono
7,6,Pamela Fryman,Chuck Tatham,9.81,2416,"7,8",Buono
7,7,Pamela Fryman,Matt Kuhn,9.87,2411,"7,7",Buono
7,8,Pamela Fryman,Tami Sagher,10.49,2478,"7,5",Buono
7,9,Michael Shea,Robia Rashid,10.28,2584,"8,3",Buono
7,10,Pamela Fryman,Chris Harris,10.42,3642,9,Eccellente
7,11,Pamela Fryman,"Carter Bays,Craig Thomas",10.01,2456,8,Buono
